FirstName,Initials,Lastname,Username,Email,StreetAddress,City,ZipCode,State,Country,Department,Password,Telephone,JobTitle,Company,Manager,OU
Misty,MM,Maple,Misty.Maple,Misty.Maple@Deltatech.com,21 Baker St,Rome,34223,WS,IT,Executive,HJgiwg923!,44123456780,CEO,Deltatech,,"CN=Users,DC=deltatech,DC=local"
Piers,PB,Bower,Piers.Bower,Piers.Bower@Deltatech.com,420 Wines Lane,London,35235,SE,GB,Operations,HJgiwg923!,44123456781,Manager,Deltatech,Misty.Maple,"CN=Users,DC=deltatech,DC=local"
Kylie,KD,Davidson,Kylie.Davidson,Kylie.Davidson@Deltatech.com,829 Cemetery Street,Chicago,54565,EW,US,IT,HJgiwg923!,44123456782,IT Director,Deltatech,Misty.Maple,"CN=Users,DC=deltatech,DC=local"
Richard,RG,Grant,Richard.Grant,Richard.Grant@Deltatech.com,4543 Sumner Street,Tokyo,35433,WG,JP,IT,HJgiwg923!,44123456783,IT Manager,Deltatech,Kylie.Davidson,"CN=Users,DC=deltatech,DC=local"
Boris,BC,Campbell,Boris.Campbell,Boris.Campbell@Deltatech.com,4654 Harley Brook Lane,Berlin,40264,HR,GR,Production,HJgiwg923!,44123456784,Production Manager,Deltatech,Richard.Clark,"CN=Users,DC=deltatech,DC=local"
Nicholas,NM,Murray,Nicholas.Murray,Nicholas.Murray@Deltatech.com,528 Wescam Court,New York,23423,HG,US,IT,HJgiwg923!,44123456785,System Admin,Deltatech,Kylie.Davidson,"CN=Users,DC=deltatech,DC=local"
Richard,RC,Clark,Richard.Clark,Richard.Clark@Deltatech.com,1831 Dane Street,New York,64365,BV,US,Executive,HJgiwg923!,44123456786,COO,Deltatech,Misty.Maple,"CN=Users,DC=deltatech,DC=local"
Ruth,RD,Dickens,Ruth.Dickens,Ruth.Dickens@Deltatech.com,2642 Bingamon Road,Grand Rapids,23436,BG,US,Operations,HJgiwg923!,44123456787,Engineer,Deltatech,Piers.Bower,"CN=Users,DC=deltatech,DC=local"
Jonathan,JF,Fisher,Jonathan.Fisher,Jonathan.Fisher@Deltatech.com,4255 Brookview Drive,Las Vegas,34685,PP,US,Administrative,HJgiwg923!,44123456788,Planner,Deltatech,Misty.Maple,"CN=Users,DC=deltatech,DC=local"
Grace,GR,Rees,Grace.Rees,Grace.Rees@Deltatech.com,3348 Willow Oaks Lane,London,56756,OG,GB,Accounting,HJgiwg923!,44123456789,CFO,Deltatech,Misty.Maple,"CN=Users,DC=deltatech,DC=local"
Terry,TR,Crow,Terry.Crow,Terry.Crow@Deltatech.com,2036 Jett Lane,Orlando,22331,HO,US,Facilites,HJgiwg923!,44123456790,Janitor,Deltatech,Richard.Clark,"CN=Users,DC=deltatech,DC=local"
Jesse,JJ,Johns,Jesse.Johns,Jesse.Johns@Deltatech.com,1612 Pallet Street,Los Angeles,34542,ZJ,US,Sales,HJgiwg923!,44123456791,Planner,Deltatech,Grace.Rees,"CN=Users,DC=deltatech,DC=local"
Paul,PW,Wall,Paul.Wall,Paul.Wall@Deltatech.com,3221 Stuart Street,Fresno,23456,AX,US,Facilites,HJgiwg923!,44123456792,Janitor,Deltatech,Richard.Clark,"CN=Users,DC=deltatech,DC=local"
Arden,AG,Grille,Arden.Grille,Arden.Grille@Deltatech.com,3449 Crim Lane,Jersey City,25743,GF,US,Administrative,HJgiwg923!,44123456793,Planner,Deltatech,Misty.Maple,"CN=Users,DC=deltatech,DC=local"
Dayton,DR,Rimes,Dayton.Rimes,Dayton.Rimes@Deltatech.com,1663 Pickens Way,Chicago,98765,DT,US,IT,HJgiwg923!,44123456794,Helpdesk,Deltatech,Richard.Grant,"CN=Users,DC=deltatech,DC=local"
Evan,EW,Williams,Evan.Williams,Evan.Williams@Deltatech.com,1812 Upland Avenue,Jersey City,45677,FR,US,Accounting,HJgiwg923!,44123456795,AR Clerk,Deltatech,Grace.Rees,"CN=Users,DC=deltatech,DC=local"
Holly,HH,Holmes,Holly.Holmes,Holly.Holmes@Deltatech.com,703 Flinderation Road,Orlando,67868,KL,US,Production,HJgiwg923!,44123456796,Operator,Deltatech,Richard.Clark,"CN=Users,DC=deltatech,DC=local"
Alice,AW,Wonder,Alice.Wonder,Alice.Wonder@Deltatech.com,2296 Nixon Avenue,Los Angeles,89764,MO,US,Accounting,HJgiwg923!,44123456797,AR Clerk,Deltatech,Grace.Rees,"CN=Users,DC=deltatech,DC=local"
Pamela,PA,Arenson,Pamela.Arenson,Pamela.Arenson@Deltatech.com,1609 North Street,Seattle,56575,ON,US,Security,HJgiwg923!,44123456798,Guard,Deltatech,Richard.Clark,"CN=Users,DC=deltatech,DC=local"
Debbie,DD,Downer,Debbie.Downer,Debbie.Downer@Deltatech.com,440 Still Pastures Drive,Seattle,56796,BB,US,Security,HJgiwg923!,44123456799,Guard,Deltatech,Richard.Clark,"CN=Users,DC=deltatech,DC=local"
Halsey,HJ,James,Halsey.James,Halsey.James@Deltatech.com,1866 Snyder Avenue,Fairbanks,35345,EE,US,Administrative,HJgiwg923!,44123456800,Events,Deltatech,Misty.Maple,"CN=Users,DC=deltatech,DC=local"
Britney,BB,Bish,Britney.Bish,Britney.Bish@Deltatech.com,1163 Carson Street,Fresno,43555,HR,US,IT,HJgiwg923!,44123456801,Helpdesk,Deltatech,Richard.Grant,"CN=Users,DC=deltatech,DC=local"
Gisele,GB,Bunches,Gisele.Bunches,Gisele.Bunches@Deltatech.com,313 Martha Street,Gary,34534,NT,US,Administrative,HJgiwg923!,44123456802,Greeter,Deltatech,Misty.Maple,"CN=Users,DC=deltatech,DC=local"
Freda,FL,Lay,Freda.Lay,Freda.Lay@Deltatech.com,1056 Grand Avenue,Gary,34534,TM,US,Sales,HJgiwg923!,44123456803,VP Sales,Deltatech,Grace.Rees,"CN=Users,DC=deltatech,DC=local"
